bank_code,bank_name
HDFC,HDFC BANK LIMITED
ICIC,ICICI BANK LIMITED
SBIN,STATE BANK OF INDIA
UTIB,AXIS BANK LIMITED
KKBK,KOTAK MAHINDRA BANK LIMITED
CNRB,CANARA BANK
UBIN,UNION BANK OF INDIA
AUBL,AU SMALL FINANCE BANK LIMITED
TMBL,TAMILNAD MERCANTILE BANK LIMITED
RATN,RBL BANK LIMITED
IDIB,INDIAN BANK
PSIB,PUNJAB & SIND BANK
IOBA,INDIAN OVERSEAS BANK
BARB,BANK OF BARODA
MAHB,BANK OF MAHARASHTRA
BKID,BANK OF INDIA
CBIN,CENTRAL BANK OF INDIA
DBSS,DBS BANK INDIA LIMITED
HSBC,HSBC BANK OMAN S.A.O.G / INDIA
SCBL,STANDARD CHARTERED BANK
CITI,CITIBANK N.A.
DEUT,DEUTSCHE BANK AG
YESB,YES BANK LIMITED
IDFB,IDFC FIRST BANK LIMITED
FED,FEDERAL BANK LIMITED
INDB,INDUSIND BANK LIMITED
SIBL,SOUTH INDIAN BANK LIMITED
KARB,KARNATAKA BANK LIMITED
KVBL,KARUR VYSYA BANK LIMITED
CSBK,CSB BANK LIMITED
DCBL,DCB BANK LIMITED
JAKA,JAMMU AND KASHMIR BANK LIMITED
BAND,BANDHAN BANK LIMITED
ESAF,ESAF SMALL FINANCE BANK LIMITED
EQUA,EQUITAS SMALL FINANCE BANK LIMITED
UJVN,UJJIVAN SMALL FINANCE BANK LIMITED
FINO,FINO PAYMENTS BANK LIMITED
PAYTM,PAYTM PAYMENTS BANK LIMITED
IPPB,INDIA POST PAYMENTS BANK
AIRP,AIRTEL PAYMENTS BANK LIMITED
JIOB,JIO PAYMENTS BANK LIMITED
BDBL,BANDHAN BANK
NSPB,NSDL PAYMENTS BANK LIMITED
SGBK,SURAYODAY SMALL FINANCE BANK
UTKS,UTKARSH SMALL FINANCE BANK
JSFB,JANA SMALL FINANCE BANK
CLBL,CAPITAL SMALL FINANCE BANK
UNITY,UNITY SMALL FINANCE BANK
SHGB,SHIVALIK SMALL FINANCE BANK
NESF,NORTH EAST SMALL FINANCE BANK
