transaction_id,reconciliation_status,matched_payout_id,reconciliation_date,last_reviewed,notes
TXN0000001,Reconciled,PO0000128,2024-03-24,,
TXN0000002,Reconciled,PO0042582,2024-10-08,2023-08-15,
TXN0000003,Reconciled,PO0067056,2024-01-03,,
TXN0000004,Reconciled,PO0057468,2024-03-26,,
TXN0000005,Partially Reconciled,PO0033846,2023-06-03,2023-11-22,
TXN0000006,Reconciled,PO0077607,2025-05-24,,
TXN0000007,Unreconciled,,,2025-11-07,Missing supporting documents
TXN0000008,Partially Reconciled,PO0052171,2025-06-19,2025-08-07,
TXN0000009,Reconciled,PO0014818,2023-01-23,,
TXN0000010,Reconciled,,2025-02-10,2025-10-08,
TXN0000011,Partially Reconciled,PO0092743,2025-07-19,,
TXN0000012,Reconciled,,2023-11-03,2025-05-06,
TXN0000013,Partially Reconciled,PO0086631,2023-10-11,2023-02-08,
TXN0000014,Reconciled,PO0081699,2023-11-17,,
TXN0000015,Reconciled,,2023-04-09,,
TXN0000016,Reconciled,PO0076093,2025-11-08,2024-02-08,
TXN0000017,Partially Reconciled,,2024-06-09,2025-07-01,
TXN0000018,Reconciled,,2023-03-02,2024-06-08,
TXN0000019,Pending Reconciliation,,,2025-05-22,Awaiting vendor documentation
TXN0000020,Reconciled,,2025-05-30,,
TXN0000021,Unreconciled,,,,Pending bank confirmation
TXN0000022,Reconciled,,2024-09-01,2023-03-30,
TXN0000023,Reconciled,,2023-02-26,,
TXN0000024,Partially Reconciled,PO0090067,2024-06-07,2025-11-27,
TXN0000025,Pending Reconciliation,,,,Pending bank confirmation
TXN0000026,Reconciled,PO0071851,2025-12-26,2024-10-05,
TXN0000027,Reconciled,,2025-09-02,2025-04-07,
TXN0000028,Reconciled,PO0027547,2023-06-05,2024-12-06,
TXN0000029,Reconciled,PO0019684,2023-02-05,,
TXN0000030,Partially Reconciled,PO0025804,2025-09-26,,
TXN0000031,Reconciled,,2025-10-08,2025-11-04,
TXN0000032,Partially Reconciled,PO0035671,2024-12-04,2023-06-17,
TXN0000033,Reconciled,,2023-04-23,,
TXN0000034,Partially Reconciled,,2025-09-16,2023-07-14,
TXN0000035,Partially Reconciled,,2023-12-31,2023-04-27,
TXN0000036,Reconciled,,2025-09-09,,
TXN0000037,Reconciled,,2024-11-11,,
TXN0000038,Partially Reconciled,PO0086689,2025-06-03,2024-07-09,
TXN0000039,Reconciled,PO0093056,2023-04-02,2024-05-23,
TXN0000040,Reconciled,,2025-07-30,2023-04-01,
TXN0000041,Pending Reconciliation,,,,Pending bank confirmation
TXN0000042,Reconciled,,2024-11-13,,
TXN0000043,Reconciled,PO0086054,2023-05-24,2024-12-08,
TXN0000044,Partially Reconciled,PO0025195,2024-09-02,2023-05-13,
TXN0000045,Reconciled,PO0001261,2024-10-17,2023-07-03,
TXN0000046,Pending Reconciliation,,,,Pending bank confirmation
TXN0000047,Reconciled,,2024-11-27,,
TXN0000048,Reconciled,,2023-04-15,,
TXN0000049,Unreconciled,,,,Amount mismatch
TXN0000050,Reconciled,,2023-05-18,2023-06-07,
TXN0000051,Pending Reconciliation,,,2023-07-27,Awaiting vendor documentation
TXN0000052,Unreconciled,,,2024-08-16,Awaiting vendor documentation
TXN0000053,Partially Reconciled,,2023-09-08,2025-10-09,
TXN0000054,Partially Reconciled,PO0059085,2024-06-25,,
TXN0000055,Pending Reconciliation,,,,Pending bank confirmation
TXN0000056,Partially Reconciled,PO0033067,2024-12-24,,
TXN0000057,Reconciled,PO0082634,2025-04-27,,
TXN0000058,Partially Reconciled,,2023-08-07,2025-08-11,
TXN0000059,Unreconciled,,,,
TXN0000060,Reconciled,PO0002500,2024-02-01,,
