vendor_id,vendor_name,industry,country,status
V00001,Pro Tech 509,Retail,Canada,Active
V00002,Solutions Supply 1779,Energy,USA,On Hold
V00003,Digital Global 588,Logistics,Canada,Active
V00004,Cloud Data 534,Energy,Canada,On Hold
V00005,Digital Services 7459,Finance,UK,Active
V00006,Hub Hub 2715,Education,UK,Active
V00007,Solutions Services 5614,Logistics,USA,Inactive
V00008,Tech Systems 5735,Finance,UK,Active
V00009,Supply Smart 8885,Logistics,Germany,Active
V00010,Cloud Enterprises 6025,Finance,Canada,Active
V00011,Global Pro 3833,Retail,USA,Active
V00012,Center Tech 6327,Retail,Germany,Active
V00013,Solutions Systems 5920,Manufacturing,UK,Active
V00014,Data Pro 2903,Energy,Canada,Active
V00015,Smart Digital 4522,Energy,Canada,Active
V00016,Center Hub 1016,Manufacturing,USA,Active
V00017,Digital Enterprises 1184,Manufacturing,India,Active
V00018,Services Pro 8279,Education,Germany,Active
V00019,Enterprises Solutions 4140,Energy,India,Active
V00020,Supply Data 7119,Finance,Germany,Active
V00021,Services Solutions 8448,Telecommunications,USA,Active
V00022,Center Tech 2604,Consulting,Germany,On Hold
V00023,Tech Digital 6352,Finance,Germany,On Hold
V00024,Enterprises Cloud 288,Logistics,India,Active
V00025,Hub Pro 5673,Logistics,UK,Inactive
V00026,Solutions Smart 153,Retail,India,Active
V00027,Cloud Tech 4989,Energy,India,Active
V00028,Solutions Systems 2746,Energy,India,Active
V00029,Data Systems 8105,Technology,USA,Active
V00030,Center Hub 5138,Manufacturing,USA,Active
V00031,Data Tech 1503,Telecommunications,USA,On Hold
V00032,Hub Solutions 2203,Telecommunications,India,Active
V00033,Enterprises Cloud 7032,Manufacturing,India,Active
V00034,Supply Enterprises 6637,Healthcare,Germany,On Hold
V00035,Smart Tech 4161,Manufacturing,USA,Active
V00036,Global Data 9175,Manufacturing,India,Active
V00037,Global Tech 1064,Manufacturing,USA,Active
V00038,Center Systems 1260,Energy,Canada,Active
V00039,Pro Smart 3610,Energy,Canada,On Hold
V00040,Data Smart 4081,Telecommunications,Germany,Active
V00041,Tech Tech 7162,Healthcare,Germany,Inactive
V00042,Smart Center 987,Logistics,USA,Inactive
V00043,Supply Systems 1890,Manufacturing,Canada,Active
V00044,Cloud Smart 2396,Education,Canada,Active
V00045,Smart Services 1335,Telecommunications,India,Active
V00046,Global Pro 8956,Technology,USA,Active
V00047,Solutions Digital 8056,Telecommunications,Canada,Inactive
V00048,Global Solutions 6309,Technology,Germany,Active
V00049,Hub Hub 7554,Retail,Germany,On Hold
V00050,Pro Supply 8073,Consulting,Canada,Active
V00051,Services Global 9589,Energy,USA,Active
V00052,Global Global 9671,Telecommunications,India,On Hold
V00053,Solutions Global 8420,Logistics,Canada,Active
V00054,Data Tech 3953,Education,USA,On Hold
V00055,Services Data 9840,Technology,India,Active
V00056,Digital Pro 9662,Finance,India,Active
V00057,Enterprises Services 5247,Manufacturing,UK,Inactive
V00058,Solutions Pro 5015,Telecommunications,UK,Active
V00059,Global Smart 9324,Logistics,USA,On Hold
V00060,Services Cloud 4445,Consulting,UK,Active
V00061,Services Systems 4769,Consulting,Germany,On Hold
V00062,Supply Enterprises 8766,Technology,India,Active
V00063,Pro Tech 2300,Retail,USA,Active
V00064,Supply Cloud 2646,Retail,UK,On Hold
V00065,Services Supply 5717,Manufacturing,UK,On Hold
V00066,Smart Enterprises 932,Logistics,Germany,Active
V00067,Global Global 5564,Consulting,UK,Active
V00068,Supply Smart 9138,Education,India,Active
V00069,Tech Tech 2542,Energy,USA,Active
V00070,Data Cloud 2526,Education,Canada,Active
V00071,Enterprises Systems 753,Healthcare,Canada,Active
V00072,Pro Tech 5894,Energy,Germany,On Hold
V00073,Supply Solutions 3978,Consulting,Canada,Inactive
V00074,Global Solutions 5542,Education,Canada,Active
V00075,Solutions Hub 1871,Education,USA,Inactive
V00076,Services Services 7641,Healthcare,UK,Active
V00077,Services Global 3264,Education,UK,Active
V00078,Center Tech 4673,Healthcare,India,Inactive
V00079,Pro Center 8885,Healthcare,USA,Active
V00080,Enterprises Solutions 9612,Retail,USA,Active
